Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
8pVj2qLebCk9F7ogRoiRuCthNHQ46NbhaG6UMXyPaqav,428,206,946.0,4.59,24,8,1,1,9,514.9,514.9,0.0,0.0,0.0,0.0,0.0,1.4420731707317074,6773.48,0.0,wallet,1
8g6aLu6YvWvKVU6fk1UAjDwWiLPr43SiJfSUY8SrB5tJ,510,168,1000.0,5.95,24,46,1,0,32,591.8,591.8,0.0,0.0,0.0,0.0,0.23,1.1494252873563218,0.0,0.0,wallet,63
GJJfAkGRW9n4JpTMVKuyVF2JUTdxRd2efhztTxiRSN2T,323,3,22.0,7.33,22,5,1,0,5,150.6,150.6,0.0,0.0,0.0,0.0,0.0,1.1578947368421053,0.0,0.0,wallet,234
ARedJUh5btEPyDsnnXCtLpYZwzw2p1dGYv9Qti5CkJZr,608,18,56.0,3.11,23,5,1,1,6,385.4,385.4,0.0,0.0,0.0,0.0,0.0,1.75,1.3,0.0,wallet,15
RBcUDXVZKbNaL6iKiQ7tpLjejR8rWoAxaa8u3ySdLRm,213,105,838.0,7.98,22,7,1,0,12,52.7,52.7,0.0,0.0,0.0,201634.59,0.0,1.034567901234568,5071.74,0.0,wallet,0
Dx3dHkWNG7aJmisDSfdWKGo2tZqahqV5DPWhcQwa8HjG,137,16,47.0,2.94,22,9,1,0,5,122.1,122.1,0.0,0.0,0.0,6684.44,0.0,1.5666666666666669,701.41,0.0,wallet,13
8QtQyP6x3Pxvm9QRQzgqTxE4dyVyvN3FKXWGKv3C4wvA,53,48,1000.0,20.83,23,13,1,0,32,82646.1,82646.1,0.0,0.0,0.0,0.0,0.0,1.314060446780552,0.0,0.0,wallet,1
3n77z5feE2exe2TaV2G6sG2tb7J9EgwMLdyYhqBvJomY,187,12,32.0,2.67,21,3,1,0,5,405.7,405.7,0.0,0.0,0.0,0.0,0.0,2.1333333333333333,418.97,0.0,unknown,29
4s4cBnjoJnFUHFrekyURwA5i5qKWfTLHHbFujEXurxob,657,13,38.0,2.92,22,5,1,0,6,146.2,146.2,0.0,0.01,0.0,0.0,0.0,1.2258064516129032,0.0,0.0,wallet,15
4E2ohkuPPHuQum5HyPY9AYqPC3kuLbKBCENzYfc2wJ3H,248,56,91.0,1.62,23,5,1,0,4,914.4,914.4,0.0,0.0,0.0,49.08,0.0,1.7169811320754718,0.28,0.0,unknown,3
3atjLCwCGF2KAPCnL2U7NAY7WMRAkxtyNqaS6s9Bom6z,674,16,77.0,4.81,21,15,1,0,11,203.6,203.6,0.0,0.0,0.0,0.0,0.0,1.115942028985507,0.0,0.0,wallet,20
6gJgkmNJpK6FDcvZ2nUxj38MyNvPeo8yzqc1rf9hPD69,488,40,119.0,2.98,22,8,1,0,15,20.1,20.1,0.0,0.0,0.0,33716.4,0.0,1.2526315789473683,11671.02,0.0,unknown,0
4EJoGosWBPpBdzCPYQL8BxEiymkujCQjowR5XMowEAAV,373,1,71.0,71.0,22,9,1,2,10,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,1.109375,0.02,0.0,unknown,375
BvtVoxukn4fYxsAHm4yKMZzMG7wLdDE3L7Vmn1Zev13n,359,32,172.0,5.38,23,9,1,0,16,195.8,195.8,0.0,0.0,0.0,500.0,0.0,1.2285714285714286,0.27,0.0,wallet,2
