source,destination,amount,usdamount
9WN8qoFm5rAfMS4RnhdEL5DVaqPZyabnyPyUgkuVTiTp,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,5.8,0.0
9X9e7uz1aKAvgrX6oBT2Q8f4VKQuF8HvoaxFw4muy21p,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,10.3,0.0
9XrDEcEK2yg3TfV9bTXM3uduYwFyQ98LGay9T7adTi8R,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,0.0,545.0
9fPjQB6KvWPrKQtoB7bthhcVwcDD6FRAbW175ebTxhoa,6oCa9Tz8VXVp63WiFyruE5PD6yXz3pCsv6oGzUGvg9TP,10.8,0.0
9faPW7rxnPvPdnzEyEU5KcQrHaLMmbzjLwRjsP7QMYhJ,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,4101.0,0.0
9keHBETs2Ms5gpkS75mAMb2RpgQz3WenBebD3LeE28pp,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,200.0,0.0
9kvejecn2RnNQAdvGRTj1eJW7uDMFCfy7jKCeiaar6op,GK35nWN6ZHSGZrRTf8kTQd8RkFCighChPEb41XwSFVAC,8.399999999999999,0.0
9risfyKFECJ2Jauf3ebd2r3ZbcVGYFJ6uEPNzNpHkXtq,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,400.1,0.0
9s8XEi31mofyeXWe8dMqzarxRY2AbxKe8YuvvvdBcnJP,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,6.5,0.0
9sxrUpVcChfz6cwQZBSPswMFnk9SB5TBwybQzNSSqb9m,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,625.0,0.0
9uwTUvwMvSSq44MzSWr7j8WcKB1sskWMMZpJdurv9AYa,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,5.2,0.0
9yixyDWge378wRsnikVBwRfdzXUiybL6PmJdzPTgAcrU,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,13000.0,0.0
9zCSR8WzDB9TjxvZPRQakpGLSZaw8tAjvzLLXybyANdU,5SDrsMNTYdhmApjfqYHDvjoW92f2S42vcc7zNDVcQ9Ej,6512.0,0.0
A22dx935A3QgqyXEMPj9DUt11io8shQTQFU6kvg1hZbT,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,240.9,0.0
A22xxb8fPmhXXjpBdjN19DbcEBL2cvRU3U6Yq6PjhzbT,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,18562.6,0.0
A3ZK4wjd8kYu6aAZRSDB2aheWKfLpaQhTtwBppy7FUs5,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,1000.0,0.0
A3yrMfZrNc9JwhPB5kArJVeKSXTNiZZ9rhZdFKX7Ky9V,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,3.3,0.0
AACh1VZ9W3bwr7LJVfEYniYhehveCbzAB8naycDhGV57,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,13334.0,0.0
ALNTEeUiDxP2j7QLke2x5nnKeYwFXYjDzChqgPm4TZNm,6oCa9Tz8VXVp63WiFyruE5PD6yXz3pCsv6oGzUGvg9TP,278.4,0.0
ALNTEeUiDxP2j7QLke2x5nnKeYwFXYjDzChqgPm4TZNm,GK35nWN6ZHSGZrRTf8kTQd8RkFCighChPEb41XwSFVAC,2890.8,0.0
AQtXEMpMRqTr6kTQcWx9ZcG3pZbpwSfeojE44bD4X4UB,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,8528.8,0.0
ATrUqzZPQqoA3ZCivFzQR2E8hHWF4wdUj8t1mJSCFdjk,6oCa9Tz8VXVp63WiFyruE5PD6yXz3pCsv6oGzUGvg9TP,8.100000000000001,0.0
AZcCHgvdTFZu4uNH86WESExXHes714Mg2YUPTY7kGq8S,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,148.0,0.0
Acw71csLTsrz94rP2Qc6eMKFfS6eraDhKKCw8r1Fkdf4,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,4161.299999999999,0.0
Ad2TeeqbuRKZkgKaLRFUNLSufqfj6cCf2foK6TMbTPPp,GK35nWN6ZHSGZrRTf8kTQd8RkFCighChPEb41XwSFVAC,13.200000000000001,0.0
Ajy2o5mubopebstg4fGnfptfSh4cz8EHoAJo3RAeNBmQ,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,6639.4,0.0
AkqGEQHJA7b4heKrpkC2jcP7ssjqNHCpmcV78qvT8Zrh,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,1170.0,0.0
AmR8AC7jBiz9VzSGdGFpQK9hAmFN2wD25kSnqpcLKehL,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,133.0,0.0
AnYJGvkp11szDEvKiv2gfgPQ2Pgt6Ue1jPv2D3cF5szg,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,4589.0,0.0
